"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_rgap_1b_z3_t60s_E11.tif:0069-0103-1339:68","3D_rgap_1b_z3_t60s_E11.tif","rgap_1b_z3_t60s_E11","433","332","59","69","101","10","10.1"
"3D_rgap_1b_z3_t60s_E12.tif:0070-0154-1346:69","3D_rgap_1b_z3_t60s_E12.tif","rgap_1b_z3_t60s_E12","437","333","60","70","104","10","10.4"
"3D_rgap_1b_z3_t60s_E13.tif:0059-0098-1294:58","3D_rgap_1b_z3_t60s_E13.tif","rgap_1b_z3_t60s_E13","417","322","49","59","95","10","9.5"
"3D_rgap_1b_z3_t60s_E14.tif:0057-0117-1323:56","3D_rgap_1b_z3_t60s_E14.tif","rgap_1b_z3_t60s_E14","430","326","47","57","104","10","10.4"
"3D_rgap_1b_z3_t60s_E15.tif:0076-0172-1349:75","3D_rgap_1b_z3_t60s_E15.tif","rgap_1b_z3_t60s_E15","433","338","66","76","95","10","9.5"
"3D_rgap_1b_z3_t60s_E16.tif:0050-0120-1304:49","3D_rgap_1b_z3_t60s_E16.tif","rgap_1b_z3_t60s_E16","421","324","40","50","97","10","9.7"
"3D_rgap_1b_z3_t60s_E17.tif:0072-0113-1340:71","3D_rgap_1b_z3_t60s_E17.tif","rgap_1b_z3_t60s_E17","434","332","62","72","102","10","10.2"
"3D_rgap_1b_z3_t60s_E2.tif:0083-0152-1331:82","3D_rgap_1b_z3_t60s_E2.tif","rgap_1b_z3_t60s_E2","432","329","73","83","103","10","10.3"
"3D_rgap_1b_z3_t60s_E3.tif:0052-0168-1290:51","3D_rgap_1b_z3_t60s_E3.tif","rgap_1b_z3_t60s_E3","422","316","42","52","106","10","10.6"
"3D_rgap_1b_z3_t60s_E4.tif:0071-0093-1314:70","3D_rgap_1b_z3_t60s_E4.tif","rgap_1b_z3_t60s_E4","424","327","61","71","97","10","9.7"
"3D_rgap_1b_z3_t60s_E5.tif:0076-0095-1317:75","3D_rgap_1b_z3_t60s_E5.tif","rgap_1b_z3_t60s_E5","430","323","66","76","107","10","10.7"
"3D_rgap_1b_z3_t60s_E6.tif:0075-0140-1338:74","3D_rgap_1b_z3_t60s_E6.tif","rgap_1b_z3_t60s_E6","429","335","65","75","94","10","9.4"
"3D_rgap_1b_z3_t60s_E7.tif:0067-0084-1332:66","3D_rgap_1b_z3_t60s_E7.tif","rgap_1b_z3_t60s_E7","431","330","57","67","101","10","10.1"
"3D_rgap_1b_z3_t60s_E8.tif:0059-0113-1332:58","3D_rgap_1b_z3_t60s_E8.tif","rgap_1b_z3_t60s_E8","435","326","49","59","109","10","10.9"
"3D_rgap_1b_z3_t60s_E9.tif:0078-0080-1328:77","3D_rgap_1b_z3_t60s_E9.tif","rgap_1b_z3_t60s_E9","430","329","68","78","101","10","10.1"
